category,name
base,牛肉
base,豚肉
base,鶏肉
base,ウインナー
base,ベーコン
base,ハム
base,サケ
base,マグロ
base,サンマ
base,サバ
base,ブリ
base,タイ
base,アジ
base,カツオ
base,イワシ
base,タコ
base,イカ
base,エビ
base,ホタテ
sub,キャベツ
sub,レタス
sub,ほうれん草
sub,白菜
sub,小松菜
sub,ブロッコリー
sub,もやし
sub,ネギ
sub,ニラ
sub,大根
sub,にんじん
sub,じゃがいも
sub,長芋
sub,かぼちゃ
sub,玉ねぎ
sub,レンコン
sub,ゴボウ
sub,ナス
sub,ピーマン
sub,ししとう
sub,きゅうり
sub,ゴーヤ
sub,トマト
sub,アボカド
sub,しいたけ
sub,エリンギ
sub,エノキ
accent,黒胡椒
accent,柚子胡椒
accent,にんにく
accent,しょうが
accent,唐辛子
accent,からし
accent,わさび
accent,レモン
accent,チーズ
accent,バター
accent,マスタード
accent,ごま油
accent,アンチョビ
accent,ローズマリー
accent,バジル